Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CZ: Hlavní město Praha,CZ010,-0.03375811873477221,-0.04122038719896526,-0.02633621336896378,-0.0105215589382558,108,0.741,1.0,0.999,0.74,4
CZ: Středočeský kraj,CZ020,-0.029850695202705717,-0.036099528338766625,-0.023812479143701874,-0.010389795412099712,109,0.734,1.0,0.814,0.597,3
CZ: Ústecký kraj,CZ042,-0.027111213824434766,-0.037036377146241105,-0.020393167079424058,-0.010508133391072224,110,0.736,0.738,0.812,0.441,3
CZ: Liberecký kraj,CZ051,-0.024622544673641448,-0.03322149132118693,-0.02041085141184278,-0.00842443374821554,115,0.696,0.568,0.826,0.327,2
CZ: Královéhradecký kraj,CZ052,-0.025099552685413917,-0.03831615145228877,-0.01927797017431931,-0.008234077255792083,117,0.632,0.789,0.774,0.386,2
CZ: Jihočeský kraj,CZ031,-0.028700648122036574,-0.0398164357142155,-0.019269208029157985,-0.009433092871957389,112,0.723,0.551,0.01,0.004,1
CZ: Pardubický kraj,CZ053,-0.027698336364558884,-0.03741329095770428,-0.01993199229741948,-0.00946915682757005,113,0.699,0.718,0.525,0.263,2
CZ: Moravskoslezský kraj,CZ080,-0.028811613128949597,-0.03915100762007723,-0.0200572099451833,-0.00955724313323883,108,0.713,1.0,1.0,0.713,4
CZ: Olomoucký kraj,CZ071,-0.024727425966914553,-0.03530899953237888,-0.01861500098937585,-0.009122799064237666,114,0.711,0.875,0.772,0.48,3
CZ: Karlovarský kraj,CZ041,-0.026933128754723087,-0.03534559678626343,-0.01920216731704262,-0.011275726712564983,117,0.752,0.541,0.67,0.273,2
CZ: Kraj Vysočina,CZ063,-0.029537891457219394,-0.03682317833013789,-0.025573752421569236,-0.011200311413611665,114,0.746,0.789,0.128,0.075,1
CZ: Jihomoravský kraj,CZ064,-0.024611782702421026,-0.033206209346248,-0.018711318342943782,-0.007519887817770739,113,0.664,1.0,0.792,0.526,3
CZ: Plzeňský kraj,CZ032,-0.031009441664549137,-0.04098573322636319,-0.025926984628844307,-0.011495382542017204,109,0.761,0.472,0.11,0.04,1
CZ: Zlínský kraj,CZ072,-0.028556869424638115,-0.03670846362965577,-0.023486683181260168,-0.010093826127755352,108,0.731,0.939,0.913,0.627,4
