Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FI: Åland,FI200,-0.02322321368259834,-0.029681203319233306,-0.01941996338181606,-0.010489300911856589,118,0.754,0.58,0.881,0.385,2
FI: Kanta-Häme,FI1C2,-0.026340265774647268,-0.03806299948430743,-0.021636974312616422,-0.01288523618088596,112,0.777,0.889,0.989,0.683,4
FI: Päijät-Häme,FI1C3,-0.025932456940177352,-0.03800607512905255,-0.022083531268921857,-0.011445552463121931,115,0.765,0.68,0.961,0.5,3
FI: Satakunta,FI196,-0.026830331319663815,-0.03548348663424633,-0.021046580961740377,-0.01214117770321314,117,0.786,0.889,0.98,0.685,4
FI: Keski-Suomi,FI193,-0.02694949369864783,-0.03716872421258986,-0.02428963476951617,-0.012360290648604267,108,0.833,0.364,0.799,0.242,2
FI: Pirkanmaa,FI197,-0.02856322946506655,-0.03638056710142418,-0.022769867794431287,-0.01346054355543476,116,0.828,0.855,0.969,0.686,4
FI: Pohjanmaa,FI195,-0.031539356008307866,-0.04264520393640902,-0.02439483570131547,-0.013768378316931491,115,0.809,0.993,0.978,0.786,4
FI: Helsinki-Uusimaa,FI1B1,-0.029987168793190674,-0.04041225602585685,-0.027928449803858824,-0.013089300523857792,115,0.8,1.0,1.0,0.8,4
FI: Kymenlaakso,FI1C4,-0.024668965396844406,-0.03279232572222665,-0.022038900025920915,-0.012088629760776287,119,0.782,0.663,0.963,0.499,3
FI: Etelä-Pohjanmaa,FI194,-0.022107468493404128,-0.030732340024300094,-0.019769058312353125,-0.010597339508488963,126,0.762,1.0,0.927,0.706,4
FI: Varsinais-Suomi,FI1C1,-0.026191541485554973,-0.03638197130583359,-0.021584166050648213,-0.01115306885069256,121,0.777,1.0,0.991,0.77,4
FI: Lappi,FI1D7,-0.02196563354543488,-0.028459386849073606,-0.01763907439619053,-0.009957199957338993,120,0.708,0.108,0.295,0.023,1
FI: Etelä-Savo,FI1D1,-0.025294579241559555,-0.033484533314950694,-0.01984474764040995,-0.010301582367133386,116,0.741,0.072,0.697,0.037,1
FI: Pohjois-Karjala,FI1D3,-0.02164224790253175,-0.02539843398626527,-0.01724748380026542,-0.009807002259599795,116,0.741,0.139,0.574,0.059,1
FI: Kainuu,FI1D8,-0.025392723634610505,-0.03635789673580207,-0.022554271091525423,-0.010291801270943573,118,0.746,0.049,0.01,0.0,0
FI: Pohjois-Savo,FI1D2,-0.02481338757405695,-0.03394012854902833,-0.019210441589994062,-0.006980853729843972,113,0.646,0.361,0.708,0.165,1
FI: Keski-Pohjanmaa,FI1D5,-0.025920952756624573,-0.03258527243591966,-0.019398050482534384,-0.01169393926783051,119,0.782,0.471,0.849,0.313,2
FI: Pohjois-Pohjanmaa,FI1D9,-0.025111096491286056,-0.028950947288625496,-0.018300149415806845,-0.01091636488195655,121,0.752,0.22,0.75,0.124,1
FI: Etelä-Karjala,FI1C5,-0.03067232841323118,-0.04268459295772811,-0.02484892599811777,-0.014480148437880952,107,0.85,0.24,0.845,0.172,1
