,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,NL133,-0.08676368943102664,-0.11313185343674777,-0.05683337790853168,-0.02614335383792457,115,0.73,0.623,0.817,0.372,2
1,NL211,-0.0707244185566992,-0.10136348444228072,-0.043875492604455446,-0.025310443618570468,123,0.724,1.0,0.648,0.469,3
2,NL212,-0.07346525477138148,-0.10485698493851041,-0.04877711759016168,-0.027221224264197874,123,0.732,0.917,0.191,0.128,1
3,NL213,-0.07586748440979442,-0.09951284947754872,-0.0495841570177916,-0.027358090934764198,122,0.746,1.0,0.01,0.007,1
4,NL221,-0.07179936142837315,-0.09876571390239562,-0.045576722228795725,-0.02696180961546883,125,0.72,0.935,0.794,0.535,3
5,NL224,-0.07295763306326852,-0.09529872176670792,-0.05270976755878712,-0.030309937732054447,124,0.766,1.0,0.805,0.617,4
6,NL225,-0.0757512492409569,-0.10452120660277504,-0.05325806953545063,-0.022604592282675303,121,0.702,0.481,0.412,0.139,1
7,NL226,-0.07496189054170907,-0.1067727258455382,-0.05252541110181853,-0.02765350132300429,122,0.746,0.233,0.367,0.064,1
8,NL230,-0.06897840148887499,-0.09470733253381346,-0.04503319723463263,-0.024571821330428425,126,0.698,0.777,0.396,0.215,2
9,NL310,-0.06858525290580252,-0.08784491781929711,-0.0485892732973778,-0.026616143040836197,127,0.732,0.445,0.37,0.121,1
10,NL321,-0.0690211834622803,-0.09070047824335892,-0.044105744488805367,-0.024717657708290982,119,0.681,0.235,0.387,0.062,1
11,NL323,-0.07803900071836954,-0.12098588448566175,-0.05638552020322761,-0.027871992047016167,119,0.756,0.347,0.367,0.096,1
12,NL324,-0.07619776328570632,-0.11497324458365962,-0.05168363351605324,-0.02424301748890629,122,0.738,0.367,0.863,0.234,2
13,NL325,-0.071390000347935,-0.09512384904681626,-0.05368953443133186,-0.02710413694721826,123,0.732,0.367,0.862,0.232,2
14,NL327,-0.0742797332865415,-0.11020274689339438,-0.05324172661870505,-0.024722040549378682,123,0.732,0.259,0.759,0.144,1
15,NL328,-0.07282383001251753,-0.1002669514148425,-0.05149492792311799,-0.028430325680726107,119,0.756,0.174,0.377,0.05,1
16,NL329,-0.07287081064945185,-0.10077705622637552,-0.048285040064257545,-0.026001555537683615,122,0.721,0.425,0.735,0.225,2
17,NL332,-0.07944077359411557,-0.11296673455532927,-0.056401900882552626,-0.026205023761031912,121,0.736,0.454,0.108,0.036,1
18,NL333,-0.07944077359411557,-0.11296673455532927,-0.056401900882552626,-0.026205023761031912,121,0.736,0.202,0.939,0.14,1
19,NL337,-0.07619776328570632,-0.11497324458365962,-0.05168363351605324,-0.02424301748890629,122,0.738,0.096,0.964,0.068,1
20,NL33A,-0.06848319121070111,-0.09641026769901323,-0.05303750427754087,-0.02716613668519101,123,0.748,0.216,0.899,0.145,1
21,NL33B,-0.07729645458877694,-0.1079108180753061,-0.05402499129669522,-0.028517681404262772,120,0.767,0.88,0.959,0.647,4
22,NL33C,-0.06881117290698577,-0.09376459948774024,-0.05342456910098584,-0.024743176429482733,126,0.706,0.386,1.0,0.273,2
23,NL341,-0.07136551990224883,-0.10057274664268817,-0.05164493617686728,-0.029408976288679937,122,0.762,0.364,0.86,0.239,2
24,NL342,-0.07562188188529853,-0.09921659412908604,-0.05444578201685341,-0.029850449115658855,121,0.76,0.448,0.832,0.283,2
25,NL411,-0.0729977645085798,-0.10573187722065785,-0.05557836618555485,-0.028632295920623923,122,0.762,0.446,0.827,0.281,2
26,NL412,-0.07761405025531322,-0.10349744512669014,-0.05761941083127734,-0.03121340065508093,121,0.769,0.517,0.776,0.309,2
27,NL413,-0.07295763306326852,-0.09529872176670792,-0.05270976755878712,-0.030309937732054447,124,0.766,0.677,0.628,0.326,2
28,NL414,-0.0826776613922854,-0.10836029312362191,-0.058680664003319075,-0.027387106849340606,117,0.744,0.444,0.393,0.13,1
29,NL421,-0.07925338939332054,-0.11148106815054377,-0.05669820199409457,-0.027399147319227782,119,0.748,1.0,0.628,0.47,3
30,NL422,-0.07954247277626411,-0.11228108542618523,-0.0628052588752879,-0.028173953475542843,121,0.752,0.948,0.63,0.449,3
31,NL423,-0.08077879344036398,-0.1163307852675469,-0.05740097289784572,-0.024461431549687284,117,0.726,0.602,0.603,0.264,2
32,NL111,-0.062415364760357465,-0.09178574018181652,-0.03899629297296318,-0.02152934503146591,128,0.664,0.457,0.616,0.187,1
33,NL112,-0.06116795157329679,-0.08919821826280624,-0.041499628804751304,-0.020230141054194514,130,0.677,0.378,0.588,0.15,1
34,NL113,-0.06121832467765044,-0.08373925501432665,-0.04512893982808022,-0.021418338108882523,128,0.656,0.434,0.628,0.179,1
35,NL124,-0.07186469282480065,-0.09286963952529996,-0.04947741534229676,-0.02576542092462342,119,0.739,1.0,0.844,0.624,4
36,NL125,-0.0792710232042142,-0.10603483219245152,-0.05251927657617038,-0.026303718552553767,114,0.719,0.431,0.703,0.218,2
37,NL126,-0.07126911510334798,-0.09368448969140336,-0.047249727758502794,-0.024463395829288408,119,0.723,0.451,0.625,0.204,2
38,NL131,-0.061967244298935326,-0.09013919361826436,-0.04124420973460992,-0.0215923110700271,126,0.667,0.877,0.683,0.4,2
39,NL132,-0.08534352573839223,-0.11815867314110606,-0.05381870026709376,-0.026616796818945604,115,0.739,0.557,0.577,0.238,2
