NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AT111,-0.04405241342886761,-0.0637375698162301,-0.02987433169297265,-0.016233159310777914,104,0.779,0.206,0.935,0.15,1
AT112,-0.045228119681705564,-0.06282964315012743,-0.03133807625136191,-0.014064419436816364,104,0.76,0.165,0.147,0.018,1
AT113,-0.03953354607090949,-0.05878406504471172,-0.027338770380418816,-0.012256325145298072,104,0.74,0.498,0.964,0.355,2
AT121,-0.0362142505042479,-0.05155933786825604,-0.03169219207505702,-0.012601669190440385,122,0.738,0.377,0.926,0.258,2
AT122,-0.0358183008491531,-0.05027480929790543,-0.02537029941093785,-0.012235205038679212,105,0.724,0.109,0.505,0.04,1
AT123,-0.038014146902353226,-0.0543044208196168,-0.030342870612527384,-0.015267032605919365,110,0.782,0.178,0.939,0.131,1
AT124,-0.03976870072530486,-0.05381049019490157,-0.028455691139467523,-0.01249660284165474,108,0.741,0.248,0.812,0.149,1
AT125,-0.04716815000913443,-0.06874476635334675,-0.029759957030840365,-0.015053657523295693,115,0.783,0.212,0.858,0.142,1
AT126,-0.0516765501264651,-0.07323821599210431,-0.03707040011847941,-0.021216007450829747,112,0.812,0.448,0.497,0.181,1
AT127,-0.04009836152107028,-0.05882195710757727,-0.03026940389635214,-0.01546437114416151,112,0.768,0.228,0.765,0.134,1
AT130,-0.054003834388416834,-0.07210458243082589,-0.03659329625654996,-0.02344066506610094,109,0.872,0.227,0.01,0.002,1
AT211,-0.03333096359774569,-0.04721562830647196,-0.025423822337908752,-0.011690156597036741,106,0.708,0.198,0.464,0.065,1
AT212,-0.024863229297934688,-0.031086966637826088,-0.020007919408531145,-0.010776810216968328,105,0.695,0.184,0.78,0.1,1
AT213,-0.02959344930881117,-0.039354260687799826,-0.022817338803458348,-0.012350962637418183,100,0.73,0.379,0.908,0.251,2
AT221,-0.031458272123569664,-0.04487630259937385,-0.026868698272412853,-0.011306836568651342,105,0.686,0.192,0.407,0.054,1
AT222,-0.030284199492066066,-0.041504347307229364,-0.020246965791520053,-0.009834601213635778,104,0.615,0.74,0.932,0.424,3
AT223,-0.030836799557916728,-0.04234578791203328,-0.02596957387057166,-0.010046518904056632,109,0.661,0.29,0.787,0.151,1
AT224,-0.031217052790672963,-0.04523287203144193,-0.023134066179109982,-0.009843088951309574,105,0.676,0.13,0.886,0.078,1
AT225,-0.031470263077388046,-0.04218478000079896,-0.02608142568349893,-0.011665894885157322,103,0.699,0.502,0.567,0.199,1
AT226,-0.020661698828583236,-0.024837754058868823,-0.013389261268818703,-0.004879118536382885,106,0.519,0.768,0.998,0.398,2
AT311,-0.02676632152368954,-0.03573953532103298,-0.019002406410301924,-0.008699013231729127,108,0.63,0.17,0.696,0.075,1
AT312,-0.033349446199525144,-0.04338519513853731,-0.02032446613580419,-0.006477609322902953,111,0.631,0.423,0.778,0.208,2
AT313,-0.05159488557528095,-0.08953612915139889,-0.030849443819079864,-0.010307748579139586,112,0.696,0.424,0.844,0.249,2
AT314,-0.03773961586352649,-0.05815577452909822,-0.024058854569995285,-0.00808613215009251,109,0.624,0.502,0.953,0.299,2
AT315,-0.029098279235410904,-0.04243113538068693,-0.0207188457605275,-0.00953498156578024,106,0.67,0.832,0.963,0.537,3
AT321,-0.02337467322193281,-0.02819881333822548,-0.01792442411873371,-0.009009062481702147,111,0.64,0.548,0.936,0.328,2
AT322,-0.025349407521691524,-0.032653418748511215,-0.019206947639592027,-0.010431023280453002,102,0.657,0.88,0.998,0.577,3
AT323,-0.03634733636270845,-0.05537167285005838,-0.029983339793324022,-0.013598519422738119,102,0.755,0.199,0.751,0.113,1
AT331,-0.04919427166265761,-0.0720713263690683,-0.04556222657684843,-0.015167340386124892,97,0.773,0.38,0.966,0.284,2
AT332,-0.032760074251951835,-0.04216423129775235,-0.027238285477403937,-0.011826454132948817,121,0.711,0.081,0.222,0.013,1
AT333,-0.025366481054647234,-0.03209865399436045,-0.017720289293633066,-0.010511269962333354,108,0.63,1.0,1.0,0.63,4
AT334,-0.0429401353291458,-0.05778144421942123,-0.03237534032817851,-0.017085655602281972,105,0.79,0.193,0.506,0.077,1
AT335,-0.026737635608905685,-0.034862275896027424,-0.02088460614952311,-0.009862441494212434,102,0.696,1.0,0.996,0.693,4
AT341,-0.04442293596771938,-0.06337592286897453,-0.033507792588811744,-0.01694842130025865,99,0.828,1.0,0.925,0.766,4
AT342,-0.043093733590304384,-0.06088109816121239,-0.03312684655216994,-0.017561256395018328,103,0.816,0.194,0.789,0.125,1
