,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,NO020,-0.02450439576729722,-0.03481883857549813,-0.017448777964300635,-0.008193219678258442,112,0.679,0.049,0.826,0.027,1
1,NO060,-0.027294287675712455,-0.044457127951413655,-0.018306760720945003,-0.009172525732510086,105,0.695,0.561,0.94,0.367,2
2,NO071,-0.03317855101150616,-0.04142420510939147,-0.02154188515916018,-0.00864097497095474,107,0.729,0.396,0.685,0.198,1
3,NO074,-0.023275603139819478,-0.029131087507898057,-0.015606016663819623,-0.008246096165934332,120,0.725,1.0,0.968,0.702,4
4,NO081,-0.03395534967647242,-0.045421902824674044,-0.022791008011486338,-0.011825097118236375,118,0.814,0.071,0.781,0.045,1
5,NO082,-0.025753936220887046,-0.034813141988361225,-0.01926156584249522,-0.010854247302176667,114,0.772,0.36,0.722,0.201,2
6,NO091,-0.025331959497881563,-0.03167122631465324,-0.018029520828938404,-0.009636783234632854,122,0.713,0.112,0.048,0.004,1
7,NO092,-0.02750964536540204,-0.035358861363467844,-0.018410918617363874,-0.009141098160054881,117,0.684,0.783,0.931,0.499,3
8,NO0A1,-0.02441312672360542,-0.03144245298426405,-0.016965172780103926,-0.008040484078198795,130,0.677,1.0,1.0,0.677,4
9,NO0A2,-0.028233455607083728,-0.04642857573248198,-0.016449311026007954,-0.007829964166487333,113,0.619,0.253,0.607,0.095,1
10,NO0A3,-0.032361582526232426,-0.05641866743010413,-0.019176155438165192,-0.009760236061703466,102,0.725,0.097,0.01,0.001,1
