NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
PT111,-0.026374574335031084,-0.03510399813886228,-0.020318436713127865,-0.008193944300075199,93,0.312
PT112,-0.2956216738615475,-0.34826218143528265,-0.1830674027573841,-0.095759334260577,46,0.935
PT119,-1.332912675907274,-1.551222015190593,-0.5758252033179787,-0.5014394795622887,16,1.0
PT11A,-0.0491879803631905,-0.06235086372894465,-0.033569993978316344,-0.017200330116855643,117,0.547
PT11B,-0.11262863906482327,-0.1608658675843507,-0.07471970976808526,-0.03346926794289935,88,0.773
PT11C,-0.022465664389286537,-0.027366799975217956,-0.018096595674061706,-0.00877842617484844,74,0.203
PT11D,-0.03326038673407265,-0.047112613583264906,-0.02615550154898063,-0.0096561339260237,71,0.394
PT11E,-0.3629133485760833,-0.4703917676589535,-0.39556571227993004,-0.2521072924982671,47,0.936
PT150,-1.5168350642697643,-1.7051332425160561,-0.6461391696944613,-0.3901360037055025,13,1.0
PT16B,-27.14098859204526,-27.14098859204526,-27.14098859204526,-27.14098859204526,1,1.0
PT16D,-1.5386598344229212,-1.7953086467610162,-0.908866043246049,-0.5966188826393881,16,1.0
PT16E,-0.11750687221471137,-0.16221695797584823,-0.07991343501754944,-0.04434862630374238,82,0.878
PT16F,-1.4557913863181011,-1.3368304372588677,-0.5458002345821558,-0.3309155472106944,13,1.0
PT16G,-0.03801753016563509,-0.05101932159722247,-0.026860701858940537,-0.017188304865519567,103,0.466
PT16H,-0.047918071032329916,-0.0626709152910517,-0.04128990546096734,-0.03003468903009113,91,0.714
PT16I,-13.308480855030206,-17.910648989714748,-13.308480855030206,-8.706312720345663,2,1.0
PT16J,-0.07917054024498033,-0.12110802932601478,-0.05246213336088221,-0.03424025531465669,94,0.766
PT170,-29.711199821041394,-29.711199821041394,-29.711199821041394,-29.711199821041394,1,1.0
PT181,-0.5515000926371967,-0.8161519921530427,-0.4178472238448032,-0.3064891695501619,32,0.938
PT184,-0.027431691553965826,-0.03477010856635057,-0.011953851776208,-0.006597151853791415,94,0.287
PT185,-0.026555169932709087,-0.031782629459701096,-0.024195084821655746,-0.014885918003162447,94,0.255
PT186,-0.06746187525920368,-0.08915635843805889,-0.05155035059725732,-0.031196362392725746,95,0.747
PT187,-0.1850278668570344,-0.2634462212642747,-0.13814019776767042,-0.06867120128755813,65,0.954
