NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
RO111,-0.033854890857799885,-0.04746185934482761,-0.025130127102979852,-0.01204061062870895,107,0.701
RO112,-0.026991092995532998,-0.037333850607470895,-0.02050330761089314,-0.01004637173205667,120,0.625
RO113,-0.02864097099361774,-0.03869835780085201,-0.021946778243501032,-0.01012451257490839,116,0.638
RO114,-0.02412653848805419,-0.03293455801060376,-0.018431808527133272,-0.007954413227726428,118,0.61
RO115,-0.02829151115434028,-0.03918710419804469,-0.02156098762995445,-0.010839636610369493,117,0.658
RO116,-0.029291303878039576,-0.039980099367310715,-0.021209020584986,-0.009525318425400425,114,0.667
RO121,-0.038178643475230686,-0.05064998937473099,-0.02431910322282779,-0.012607914072320741,110,0.709
RO122,-0.0346396553467486,-0.044834071511825675,-0.025133522415256578,-0.014835910166101819,120,0.75
RO123,-0.0325598658321948,-0.04197074888369875,-0.025810468941244676,-0.011345078277461902,124,0.718
RO124,-0.03075030801023588,-0.040490661956711735,-0.02546632670446314,-0.011161603906948628,115,0.678
RO125,-0.031450596801197946,-0.03853279082643942,-0.02254817425772601,-0.012978390893695955,114,0.702
RO126,-0.034334001238994515,-0.04986611708855109,-0.02412023748535255,-0.013471902205784692,113,0.717
RO211,-0.03819361632191001,-0.046353931649436436,-0.0326483153940279,-0.016071303061244956,111,0.766
RO212,-0.03443743423058188,-0.04515660780608263,-0.023750900243089776,-0.013585083582113754,120,0.7
RO213,-0.04017387748624068,-0.05731128742768782,-0.028520241504974515,-0.014069024284034119,110,0.736
RO214,-0.03253058508829102,-0.04176278387999379,-0.02616227345163294,-0.012650922408889079,116,0.707
RO215,-0.029411946557003476,-0.0386136308045148,-0.022275926043496257,-0.010658834877585148,114,0.702
RO216,-0.04221562029819058,-0.052494653084217004,-0.03314370882220941,-0.013667318869525777,105,0.733
RO221,-0.057699547203009634,-0.08159522663634597,-0.0443267596952236,-0.019564933161668345,106,0.83
RO222,-0.044110607281932834,-0.05285789669551034,-0.033398029280710256,-0.013826788996215098,109,0.725
RO223,-0.04877942612760004,-0.06488922502012659,-0.035692105268860824,-0.02010899971468859,110,0.809
RO224,-0.053644478881307814,-0.0743088019455404,-0.03537416386320821,-0.018314478411009985,106,0.802
RO225,-0.0480151308693521,-0.05966099355497552,-0.035152936015579714,-0.018046964853720905,110,0.809
RO226,-0.04454163986146763,-0.059714352559623825,-0.032523374544143904,-0.014076660711817388,109,0.725
RO311,-0.04110536415320156,-0.05593762718944794,-0.03092915182528229,-0.014650849816389951,111,0.748
RO312,-0.05541000087835603,-0.07078594789480704,-0.04411695886655085,-0.02079593512627998,105,0.829
RO313,-0.0451133598892641,-0.06338462159747192,-0.03282768716773538,-0.014553717622150792,106,0.736
RO314,-0.05297333355717076,-0.07538971224262389,-0.04257607697499416,-0.01811252011643622,107,0.804
RO315,-0.05359910766577634,-0.07713867130259075,-0.04139569136135086,-0.020085256740284767,107,0.832
RO316,-0.045227773637445734,-0.061177392834744326,-0.036288045112165886,-0.014194849780336489,109,0.734
RO317,-0.054771717633205444,-0.07024754986772729,-0.04263387847185879,-0.020370015722588588,103,0.854
RO321,-0.05080570451702018,-0.07436658775695464,-0.03552231991362209,-0.016557004338843318,108,0.796
RO322,-0.05313308420136974,-0.07860224830931839,-0.04103920057037689,-0.016329392752546634,104,0.798
RO411,-0.05216358363041145,-0.07055185919024527,-0.04349495253618189,-0.022212391850261817,108,0.824
RO412,-0.04837023089196353,-0.06361271801865408,-0.0376839248388883,-0.021077148825891925,101,0.802
RO413,-0.04473687948961479,-0.05849235335763801,-0.03349868222656067,-0.01573893677591875,113,0.761
RO414,-0.04858244485733362,-0.06251084850034067,-0.040338073151007514,-0.020766407981427988,107,0.813
RO415,-0.044792729817367795,-0.06219675230229626,-0.03450138033985686,-0.018781282230003832,103,0.786
RO421,-0.03517471238703499,-0.052678250925791516,-0.022811870206558938,-0.007894950263615686,109,0.651
RO422,-0.0318923829102688,-0.04569664710135668,-0.024165385419952917,-0.009186269696222708,116,0.647
RO423,-0.03829749203920971,-0.04977463197239069,-0.026929079766237204,-0.011137837666394548,108,0.676
RO424,-0.032436292285762613,-0.04737255032597652,-0.019985109934742836,-0.009719197360085047,113,0.602
