NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
LT011,-0.009937946773738587,-0.013573042959373777,-0.006861803248387191,-0.003230428288941065,32,0.219
LT021,-0.015884596661558396,-0.023803405847373747,-0.012381580819159469,-0.004161910758431243,44,0.364
LT022,-0.010199914925659302,-0.01911100526685702,-0.003568366420915569,-0.0021345236118318943,27,0.259
LT023,-0.009887894756265345,-0.019239827714174183,-0.004844495460977412,-0.001527611160045835,13,0.308
LT024,-0.03025811441293922,-0.038050731789756626,-0.01992914281798855,-0.010810118318454496,114,0.561
LT025,-0.08764194208095584,-0.12824975914948172,-0.0615497126203008,-0.020011680761151382,81,0.778
LT026,-0.13349352178065163,-0.2142372886919438,-0.10827015054195696,-0.03265298121751291,63,0.889
LT027,-0.16023406147037234,-0.24922417375843398,-0.12869699105094978,-0.02705843618640324,63,0.841
LT028,-0.4178854238554478,-0.4986233354149195,-0.2959705504739757,-0.12434909578508338,28,0.964
LT029,-0.019940517619362486,-0.026579303830420432,-0.012293703505607568,-0.006126780430476192,92,0.391
