NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
CH052,-0.0243224746866851,-0.029587815978135444,-0.02051178943596665,-0.010233975345759379,115,0.748
CH053,-0.02308061012411563,-0.02977364102102481,-0.02074766137157098,-0.011237059720632683,117,0.761
CH054,-0.02709284169140949,-0.034522230776756244,-0.02105933263902435,-0.011536352575736843,119,0.765
CH051,-0.025117442262213203,-0.032627617184847066,-0.02033585396412303,-0.010979142055509306,107,0.757
CH056,-0.02581966199252495,-0.03507986412605103,-0.021909963366354392,-0.009921900706010543,109,0.734
CH055,-0.02692626006352849,-0.03244157568592096,-0.021160478012073294,-0.010022066590247293,111,0.748
CH064,-0.025982935660655886,-0.03120076397890567,-0.021151819188586937,-0.00923438399025297,117,0.709
CH065,-0.02739987745307921,-0.033309407094639185,-0.021568074159358783,-0.010030545636167629,113,0.743
CH066,-0.026829588973230713,-0.03558656068896386,-0.020993189362323056,-0.009588373782242211,114,0.728
CH023,-0.02692626006352849,-0.03244157568592096,-0.021160478012073294,-0.010022066590247293,111,0.748
CH012,-0.025273984551130023,-0.03141983422907082,-0.01921792454831509,-0.008848614716604012,113,0.708
CH013,-0.030190148162739194,-0.03534215605875546,-0.02311937598912637,-0.010085920107998723,108,0.741
CH024,-0.025993382791994483,-0.031377487941405505,-0.019627236012717767,-0.010290353749598875,112,0.75
CH032,-0.030883027384925876,-0.03751434632024209,-0.022686398518920278,-0.01080357626537053,106,0.764
CH063,-0.024913869233216025,-0.02987357430507509,-0.0194305246131537,-0.009569913939810952,111,0.721
CH057,-0.024913869233216025,-0.02987357430507509,-0.0194305246131537,-0.009569913939810952,111,0.721
CH061,-0.02607848879416087,-0.033059940959562543,-0.02033852258944292,-0.009642860295292929,116,0.724
CH062,-0.024101364625012885,-0.033343311545341085,-0.01906332523651435,-0.010240849348613306,116,0.75
CH033,-0.030408049954415182,-0.03410076099713562,-0.025019259337193976,-0.011641087838137784,105,0.771
CH011,-0.024692111104774813,-0.031768300042556326,-0.019195799752508853,-0.008219267264095423,114,0.711
CH025,-0.02159737488770629,-0.02977180543979361,-0.017687125627493215,-0.008331258764848738,123,0.699
CH031,-0.025483029522679414,-0.029439489229689836,-0.01962103362805811,-0.009101369710894428,110,0.718
CH021,-0.025294549894499186,-0.03135662620986951,-0.019412864767637927,-0.00833387084570657,114,0.728
CH040,-0.02391868161863606,-0.028774014974120517,-0.017655034750431897,-0.009811716728181746,115,0.73
CH070,-0.027804676209204265,-0.03408268669355371,-0.02186236559195643,-0.008922107678068903,113,0.708
CH022,-0.024625811704324825,-0.03558448066111938,-0.021546194557148374,-0.011586983596887094,128,0.789
