NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL031,-0.03732339532011215,-0.05159675244945237,-0.025229809036724567,-0.012274947955690493,114,0.711
AL032,-0.04116829892355153,-0.05467085255793745,-0.03039506740079413,-0.012558976840124803,116,0.724
AL035,-0.03494207604276887,-0.05089158269418521,-0.028300630691494934,-0.010910546970867512,121,0.645
AL022,-0.0370440424180538,-0.049879302639794516,-0.02680011600989798,-0.0120944852210462,115,0.713
AL034,-0.03612423514458077,-0.05308436407745427,-0.02834642960166225,-0.009033633994007445,119,0.655
AL014,-0.0388957954285174,-0.05705678847510241,-0.025102708384628233,-0.014884516439115725,112,0.759
AL033,-0.04238936953833861,-0.05736014661522021,-0.026042942181296377,-0.014476707079488718,116,0.759
AL013,-0.03961314010121297,-0.05545582850993092,-0.026044509672591372,-0.014724097845233094,114,0.763
AL015,-0.04699835380518053,-0.05989723760871568,-0.029518293467026925,-0.017178328408754967,111,0.775
AL011,-0.03970552276124821,-0.05361020076949215,-0.025040758463697757,-0.011725844890395631,116,0.698
AL012,-0.039650827891670605,-0.049806830029423835,-0.02689923191265924,-0.015262490122617448,117,0.761
AL021,-0.04357133171984821,-0.05866220174963906,-0.02666536341845526,-0.013165888007815693,111,0.721
