NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AT111,-0.04816838092467629,-0.07163539448851207,-0.028214411991189618,-0.01276921356262821,109,0.734
AT112,-0.048402392275601135,-0.07129220595062005,-0.02954680246224907,-0.01145085456178766,110,0.718
AT113,-0.04747558102448616,-0.067682074345989,-0.03473066112536719,-0.01395925370212749,101,0.762
AT121,-0.04169399700096943,-0.0615481564705041,-0.031241789526312895,-0.015790599082099756,115,0.783
AT122,-0.036974842796309616,-0.05451844313621565,-0.02933341431177392,-0.009747972564806355,112,0.714
AT123,-0.03802220048039359,-0.05478714988939106,-0.029192295501144674,-0.01098437273237326,120,0.708
AT124,-0.042889913933055294,-0.06459440795385331,-0.026717332651234705,-0.01037672450193352,109,0.67
AT125,-0.05732901413607513,-0.0894146626950918,-0.030699202033596343,-0.01641715176326787,104,0.798
AT126,-0.060314460742412764,-0.08522446329209957,-0.037992148285888996,-0.019049802308420405,106,0.84
AT127,-0.044647011420537605,-0.06337085332626877,-0.02828717021549151,-0.013416308674195689,113,0.761
AT130,-0.05726266153274918,-0.08355585532932289,-0.03575330378382759,-0.018886790291066838,115,0.835
AT211,-0.03848656638482972,-0.05395947994733208,-0.026147156954376905,-0.012317474923460215,113,0.735
AT212,-0.02732600756060383,-0.039773381095206506,-0.021342502952100516,-0.008960497980376564,117,0.667
AT213,-0.03431570915461549,-0.04616287584307778,-0.02405308628662317,-0.011257687821579404,107,0.701
AT221,-0.03412512362926393,-0.044792886025283654,-0.023821053541167894,-0.010117275984230841,112,0.661
AT222,-0.03230669507277215,-0.05375410062756637,-0.0203766088163077,-0.008124910705293401,107,0.654
AT223,-0.034524168408372975,-0.04880544743113929,-0.027669572735292722,-0.009920726314005058,107,0.692
AT224,-0.0354444088367699,-0.04819750454186704,-0.02432142067856001,-0.008303737016886376,108,0.704
AT225,-0.03783585223793015,-0.06183386230763377,-0.029909344013855473,-0.013442899635057574,100,0.76
AT226,-0.02484554569081939,-0.03670814164833537,-0.01701889889694293,-0.00796972894200681,111,0.586
AT311,-0.02782022840115518,-0.03632103719493282,-0.02280104874410464,-0.010897521988882847,116,0.672
AT312,-0.03618308787119192,-0.05310226120177961,-0.024247815341650773,-0.00904986636115341,111,0.658
AT313,-0.05631958295038458,-0.09354802189438191,-0.03466422675249488,-0.013185753759975806,108,0.759
AT314,-0.04449374123963603,-0.0717259674946639,-0.03200393909268505,-0.01122325338025124,99,0.727
AT315,-0.03212198643116081,-0.04791416551918866,-0.02479178759150656,-0.011088486322206471,107,0.701
AT321,-0.028941279526952662,-0.0373674416978948,-0.02260109134949831,-0.010833608041326803,112,0.688
AT322,-0.02841964174006198,-0.03864675071815579,-0.023971909483790597,-0.01088263460061356,109,0.67
AT323,-0.03981819450633028,-0.05657788009630591,-0.03746100505526967,-0.014403481731682245,102,0.775
AT331,-0.05659707125528309,-0.08341874359814595,-0.05089768058423432,-0.023875681714777438,92,0.815
AT332,-0.03982775905502735,-0.050425422152388266,-0.03461307900233482,-0.019835022407373906,111,0.856
AT333,-0.030819000501958755,-0.04155171045368717,-0.02386206967407275,-0.011645995700269727,110,0.709
AT334,-0.05204442207571517,-0.0704437703061904,-0.04137095490941579,-0.01969901253909988,96,0.896
AT335,-0.028145882892442752,-0.03682333638049315,-0.022645545462535794,-0.011486193399769841,110,0.718
AT341,-0.04858145242838571,-0.06363337086310747,-0.035802575912632084,-0.025827268999903067,100,0.86
AT342,-0.05332095705780846,-0.06874131295313204,-0.04605654537682853,-0.021766506589983463,92,0.859
