NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
EL301,-0.17130769925612618,-0.22134852739609778,-0.13833577594506877,-0.06246953444949601,64,0.922
EL302,-0.17130769925612618,-0.22134852739609778,-0.13833577594506877,-0.06246953444949601,64,0.922
EL303,-0.17130769925612618,-0.22134852739609778,-0.13833577594506877,-0.06246953444949601,64,0.922
EL304,-0.17130769925612618,-0.22134852739609778,-0.13833577594506877,-0.06246953444949601,64,0.922
EL305,-0.12770739560654076,-0.18423996109938973,-0.09979815827794541,-0.04272183581394802,72,0.917
EL306,-0.1560139827900766,-0.23155350313746337,-0.12922350058686227,-0.04330495034945594,70,0.9
EL307,-0.07281601846464274,-0.08904696267279782,-0.05098755200829358,-0.03152009908723129,95,0.8
EL411,-0.14469723737878315,-0.18801522905199516,-0.10306463171240463,-0.046290246237428875,64,0.875
EL412,-0.07290314430742227,-0.0997213646314678,-0.05846495040553942,-0.02429831843354842,94,0.755
EL413,-0.08020321305671302,-0.11601886661659108,-0.06024879856044151,-0.0320366372310543,85,0.812
EL421,-0.07471605659031236,-0.09932311891561803,-0.05436775254840876,-0.034811512810599944,88,0.852
EL422,-0.06616828257539566,-0.091232548461364,-0.054828728525538634,-0.02097876090108257,98,0.694
EL431,-0.11244159063339981,-0.15420845824580223,-0.07850318669515577,-0.044673308472828965,82,0.866
EL432,-0.10122046908822308,-0.13735147471676756,-0.07917575695573045,-0.03966400801273717,91,0.813
EL433,-0.11311306201971914,-0.14969692956245115,-0.09037048681772673,-0.03828082673317052,74,0.865
EL434,-0.16546213636964177,-0.2456458017212379,-0.10642069939702817,-0.058272409220935635,57,0.895
EL511,-0.0865801347596793,-0.12359009254710107,-0.06022736843730214,-0.03262105122652659,93,0.839
EL512,-0.09912960511272693,-0.12991700289027178,-0.09023262878009758,-0.04107729794884856,85,0.847
EL513,-0.10340434941173254,-0.15203324826471515,-0.07515745049994832,-0.04256850022723769,89,0.865
EL514,-0.09131452441729657,-0.122324868068619,-0.07348747436839864,-0.044394899654865906,85,0.894
EL515,-0.10063953634903004,-0.13991655677482442,-0.07653168807121846,-0.03264866607446808,86,0.814
EL521,-0.09905124206978874,-0.11817088283419061,-0.07362749106177387,-0.040353644045732655,89,0.876
EL522,-0.13931278769622746,-0.1663224250906184,-0.09070361947832527,-0.05411394486919862,75,0.893
EL523,-0.11285528882005312,-0.1401532872794153,-0.07949784941775688,-0.031009097720373094,89,0.82
EL524,-0.10080783021586567,-0.11731881714939535,-0.0693169886192629,-0.03914194601770918,93,0.882
EL525,-1.893252731549212,-2.7756831017618153,-1.001979921605429,-0.6181226934519307,14,0.857
EL526,-0.2311235029534513,-0.3637189355701034,-0.29143624438516436,-0.01083255519882361,61,0.705
EL527,-0.23203505450549805,-0.3262343661636343,-0.1652843516432173,-0.02913837032685352,57,0.807
EL531,-0.036687603103924445,-0.05455560720671464,-0.027865627544400032,-0.011445311563183066,83,0.566
EL532,-0.5741015994374082,-0.5714632071243905,-0.5202494773876882,-0.15006057288592928,38,0.816
EL533,-0.0634920260975817,-0.10232346346440274,-0.033642169210386756,-0.012754209489563633,90,0.6
EL541,-0.2173491442896393,-0.34537556465780167,-0.23105937103269458,-0.04511664386674762,69,0.971
EL542,-0.04450995545298205,-0.0645460796664785,-0.04263336913810701,-0.019928666271044542,49,0.735
EL543,-0.049378049809162335,-0.06641173190533918,-0.05289298995432894,-0.025576790705747348,48,0.771
EL611,-0.025919264804679466,-0.03612567344198826,-0.02407398727048445,-0.009051591206136727,47,0.532
EL612,-0.09334198544581974,-0.13064654691035485,-0.06709603310287038,-0.02747610723014986,88,0.75
EL613,-0.05049017693496528,-0.06958267665885717,-0.03717231988754716,-0.022754183334918385,93,0.71
EL621,-13.88943761436104,-17.65027711184982,-13.88943761436104,-10.128598116872261,2,1.0
EL622,-0.08907316954656817,-0.12202994979033223,-0.0638130245123926,-0.034298057892382036,83,0.831
EL623,-0.2924370784318248,-0.40230616233796823,-0.2543222053748823,-0.0782717058601477,43,0.884
EL624,-30.413511925500853,-30.413511925500853,-30.413511925500853,-30.413511925500853,1,1.0
EL631,-0.14926275358783328,-0.20853394861294788,-0.15402396398826393,-0.037090530202785896,58,0.828
EL632,-0.16095739799023684,-0.24223446576828214,-0.19894170106509063,-0.039612656793217994,62,0.774
EL633,-0.8134621702247903,-1.1538022851754235,-0.7634677556351859,-0.4067745920322986,22,1.0
EL641,-0.016557606849065445,-0.021580678165607117,-0.016695940626332714,-0.008992262051449328,32,0.219
EL642,-0.09557040728181995,-0.18673791060117104,-0.0654860999325535,-0.01743861379714145,91,0.692
EL643,-0.03666116220404614,-0.05252972921339886,-0.029526147083063455,-0.018109999726041787,98,0.612
EL644,-0.015124463923935051,-0.02407734216045768,-0.00948310164792588,-0.004241494749664218,25,0.28
EL645,-22.7078073755393,-22.7078073755393,-22.7078073755393,-22.7078073755393,1,1.0
EL651,-0.030658911322528657,-0.04282999635087502,-0.02689556380942145,-0.014379904090323619,84,0.56
EL652,-0.7168253889821206,-0.9236900149738504,-0.5057449222242637,-0.3024911327635018,25,1.0
EL653,-0.04054332209976571,-0.05698830792665388,-0.04255700102673652,-0.024955719460060265,53,0.755
