NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
HR064,-0.04357462550304008,-0.057617606884386406,-0.03395565970071475,-0.014125017958879842,114,0.728
HR024,-0.04497329049763111,-0.059025255965288584,-0.03484924370048183,-0.014015297266513075,120,0.733
HR022,-0.04104550125001048,-0.0494375221997226,-0.032037911909416336,-0.016750799758569544,115,0.774
HR023,-0.04418784053908804,-0.05347740294062918,-0.03186982398669774,-0.016228922696911254,118,0.763
HR037,-0.049996439683129515,-0.07088800073943856,-0.03492665536152655,-0.0188448011574511,113,0.788
HR033,-0.043155868003923806,-0.05448524902255678,-0.02994176730817214,-0.01640869047865902,113,0.761
HR065,-0.05044648128835511,-0.06334008224959009,-0.03368170079307403,-0.015811181182307822,104,0.75
HR062,-0.04328469118793266,-0.055703213915443466,-0.03184963823986454,-0.019000022951917002,116,0.819
HR036,-0.049867259847039686,-0.06787018587968419,-0.03229894897868664,-0.014710045328650927,105,0.733
HR027,-0.053712540477562756,-0.07012613492221484,-0.03709807526749948,-0.014056779005561727,102,0.735
HR028,-0.05980023203340479,-0.07684214906436822,-0.0397761907183984,-0.015957057365687925,104,0.75
HR025,-0.05439489864341072,-0.07106920621237245,-0.03986151226510888,-0.0169207010139714,109,0.752
HR031,-0.05292128404978062,-0.0751674205710911,-0.043219193271525916,-0.016261793198714278,110,0.764
HR026,-0.050640544998190845,-0.06577030760632242,-0.03026762519506554,-0.012127155470759921,109,0.688
HR035,-0.05146954084084856,-0.07370162272539996,-0.03784740885945965,-0.013402242438587258,114,0.711
HR034,-0.04714733883356464,-0.05966544536559977,-0.0329246318794265,-0.016578245035312696,107,0.748
HR063,-0.04042506388241131,-0.05117283167094369,-0.03122710933230647,-0.015074092861171907,118,0.729
HR061,-0.04649682054302064,-0.057398734430901745,-0.0362865193814743,-0.01538997149472613,114,0.737
HR021,-0.04763292828172864,-0.062440826521446335,-0.03419195120697369,-0.014415460807215057,113,0.717
HR032,-0.03767168194248415,-0.04975152632422465,-0.028738262762532513,-0.013294712240117506,115,0.704
HR050,-0.048435620179208674,-0.05864584995126046,-0.03457879248778151,-0.018982523086110297,108,0.824
